r_index,s_index,join_algorithm,r_tuples,s_tuples,db_r,db_s,r_index_path,s_index_path,eps_s,k_r,k_s,c_r,M,B,T,K,skip_ingestion,is_public_data,theory,skew,public_r,public_s,num_loop,cache_size,bpk,page_size,skip_join,matches,sum_join_read_io,sum_sync_time,sum_eager_time,sum_update_time,sum_valid_time,sum_get_index_time,sum_get_data_time,sum_post_list_time,sum_sort_cpu_time,sum_sort_io_time,sum_hash_cpu_time,sum_hash_io_time,sum_join_time,sum_index_build_time,sum_cpu_time,cache_hit_rate,false_positive_rate,string_process_time,sum_other_cpu_time
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,1,0,,,1,32,10,4096,0,15977960,7749176,0,0,17.0337,0,3.26454,516.617,0,0,0,0,0,522.285,18.3894,3.75909,0,-nan,0,3.75909
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,1,0,,,1,32,10,4096,0,15977960,4685001,4.04752,0,6.12557,0,327.182,1.47984,0,0,0,0,0,331.688,11.2029,4.05588,0,0.00535678,0,4.05588
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,1,0,,,1,32,10,4096,0,15977960,4217951,4.11052,11.7648,6.17147,0,285.974,1.98495,2.04302,0,0,0,0,290.937,23.3337,4.26447,0,0.00959735,0,2.22145
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,3,0,0,1,0,,,1,32,10,4096,0,15977960,7748945,0,0,14.8714,0,2.95108,511.959,0,0,0,0,0,517.069,16.2488,3.53705,0,-nan,0,3.53705
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,3,0,0,1,0,,,1,32,10,4096,0,15977960,4592067,4.09329,0,5.16904,0,317.739,1.35714,0,0,0,0,0,321.832,10.3033,3.77643,0,0.00474757,0,3.77643
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,3,0,0,1,0,,,1,32,10,4096,0,15977960,4411354,4.04934,13.2042,6.19617,0,298.223,1.81815,1.91059,0,0,0,0,302.815,24.7295,4.05367,0,0.00967936,0,2.14308
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,4,0,0,1,0,,,1,32,10,4096,0,15977960,7748964,0,0,11.459,0,3.11855,512.508,0,0,0,0,0,517.839,12.8237,3.57727,0,-nan,0,3.57727
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,4,0,0,1,0,,,1,32,10,4096,0,15977960,4687610,4.05709,0,4.95501,0,327.645,1.4668,0,0,0,0,0,332.186,10.0466,4.10864,0,0.00525953,0,4.10864
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,4,0,0,1,0,,,1,32,10,4096,0,15977960,4217035,4.09854,15.8474,6.22349,0,285.278,1.91878,1.976,0,0,0,0,290.089,27.4468,4.16968,0,0.00954094,0,2.19368
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,5,0,0,1,0,,,1,32,10,4096,0,15977960,7749262,0,0,12.7487,0,3.22574,514.567,0,0,0,0,0,520.146,14.1365,3.74039,0,-nan,0,3.74039
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,5,0,0,1,0,,,1,32,10,4096,0,15977960,4978423,4.07539,0,4.68471,0,346.867,1.42237,0,0,0,0,0,351.213,9.78869,3.95276,0,0.00528952,0,3.95276
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,5,0,0,1,0,,,1,32,10,4096,0,15977960,5136418,4.23005,18.7455,6.2381,0,354.294,2.11924,2.11639,0,0,0,0,359.531,30.5211,4.42484,0,0.00962693,0,2.30845
