r_index,s_index,join_algorithm,r_tuples,s_tuples,db_r,db_s,r_index_path,s_index_path,eps_s,k_r,k_s,c_r,M,B,T,K,skip_ingestion,is_public_data,theory,skew,public_r,public_s,num_loop,cache_size,bpk,page_size,skip_join,matches,sum_join_read_io,sum_sync_time,sum_eager_time,sum_update_time,sum_valid_time,sum_get_index_time,sum_get_data_time,sum_post_list_time,sum_sort_cpu_time,sum_sort_io_time,sum_hash_cpu_time,sum_hash_io_time,sum_join_time,sum_index_build_time,sum_cpu_time,cache_hit_rate,false_positive_rate,string_process_time,sum_other_cpu_time
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,2,2,0,0,0,0,,,1,32,10,4096,0,15977960,7748753,0,0,14.0296,0,3.14581,514.231,0,0,0,0,0,519.685,15.3758,3.65412,0,-nan,0,3.65412
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,2,2,0,0,0,0,,,1,32,10,4096,0,15977960,4255396,4.18908,0,5.33023,0,291.382,1.52408,0,0,0,0,0,295.987,10.5861,4.14777,0,0.00140715,0,4.14777
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,2,2,0,0,0,0,,,1,32,10,4096,0,15977960,4088897,4.1876,10.5274,6.41692,0,278.103,1.99743,2.2031,0,0,0,0,283.271,22.4555,4.49444,0,0.00955603,0,2.29134
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,32,10,4096,0,15977960,7749143,0,0,14.2407,0,3.30132,515.068,0,0,0,0,0,520.712,15.623,3.72449,0,-nan,0,3.72449
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,32,10,4096,0,15977960,4515245,4.00186,0,5.29782,0,308.037,1.41121,0,0,0,0,0,312.484,10.3448,4.08142,0,0.00327234,0,4.08142
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,32,10,4096,0,15977960,4088913,4.11598,10.5065,6.32697,0,278.797,2.10019,2.11459,0,0,0,0,284.002,22.263,4.41863,0,0.00955518,0,2.30404
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,10,2,0,0,0,0,,,1,32,10,4096,0,15977960,7748985,0,0,14.0683,0,3.32109,516.105,0,0,0,0,0,521.845,15.4355,3.78583,0,-nan,0,3.78583
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,10,2,0,0,0,0,,,1,32,10,4096,0,15977960,4514667,4.12781,0,5.31035,0,309.009,1.42673,0,0,0,0,0,313.4,10.4971,4.02293,0,0.00325342,0,4.02293
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,10,2,0,0,0,0,,,1,32,10,4096,0,15977960,4089439,4.12615,10.485,6.42923,0,277.673,2.04865,2.03767,0,0,0,0,282.721,22.3336,4.29218,0,0.00961837,0,2.25451
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,40,2,0,0,0,0,,,1,32,10,4096,0,15977960,7748793,0,0,13.2552,0,3.28826,514.057,0,0,0,0,0,519.619,14.6551,3.67298,0,-nan,0,3.67298
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,40,2,0,0,0,0,,,1,32,10,4096,0,15977960,4639917,4.17439,0,4.89063,0,319.147,1.53132,0,0,0,0,0,323.814,10.1225,4.19312,0,0.00336005,0,4.19312
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,40,2,0,0,0,0,,,1,32,10,4096,0,15977960,4089595,4.17548,10.4959,6.523,0,277.282,1.95205,2.07695,0,0,0,0,282.238,22.51,4.31922,0,0.00961481,0,2.24227
