r_index,s_index,join_algorithm,r_tuples,s_tuples,db_r,db_s,r_index_path,s_index_path,eps_s,k_r,k_s,c_r,M,B,T,K,skip_ingestion,is_public_data,theory,skew,public_r,public_s,num_loop,cache_size,bpk,page_size,skip_join,matches,sum_join_read_io,sum_sync_time,sum_eager_time,sum_update_time,sum_valid_time,sum_get_index_time,sum_get_data_time,sum_post_list_time,sum_sort_cpu_time,sum_sort_io_time,sum_hash_cpu_time,sum_hash_io_time,sum_join_time,sum_index_build_time,sum_cpu_time,cache_hit_rate,false_positive_rate,string_process_time,sum_other_cpu_time
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,2,2,0,0,1,0,,,1,32,10,4096,0,15977960,7749037,0,0,11.7618,0,2.91195,511.915,0,0,0,0,0,517.016,13.1468,3.5744,0,-nan,0,3.5744
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,2,2,0,0,1,0,,,1,32,10,4096,0,15977960,4572501,4.01978,0,5.04684,0,315.817,1.36978,0,0,0,0,0,319.962,10.1116,3.82038,0,0.00355462,0,3.82038
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,2,2,0,0,1,0,,,1,32,10,4096,0,15977960,4227345,4.08473,10.7762,6.53131,0,294.462,1.89625,2.14787,0,0,0,0,299.399,22.6645,4.31368,0,0.00965202,0,2.16581
CLazy,CLazy,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,2,2,0,0,1,0,,,1,32,10,4096,0,15977960,32,33.5724,0,15.7494,0,0.986265,0,0.739037,0,0,0,0,1.92191,51.6031,3.21698,0,-nan,0,2.47794
Regular,CLazy,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,2,2,0,0,1,0,,,1,32,10,4096,0,15977960,28,4.06238,0,7.13746,0,0.631438,1.76061,0.377642,7.31763,2.36972,0,0,13.5238,12.2842,9.84642,0,-nan,0,2.15114
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,1,0,,,1,32,10,4096,0,15977960,7749120,0,0,11.3669,0,3.22721,514.974,0,0,0,0,0,520.417,12.8121,3.66109,0,-nan,0,3.66109
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,1,0,,,1,32,10,4096,0,15977960,3525510,4.04484,0,5.46626,0,261.888,1.48224,0,0,0,0,0,266.304,10.5608,3.98378,0,0.00427153,0,3.98378
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,1,0,,,1,32,10,4096,0,15977960,3740765,4.13756,8.68887,6.59875,0,264.009,1.9167,1.97914,0,0,0,0,268.827,20.6913,4.16758,0,0.00968168,0,2.18844
CLazy,CLazy,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,1,0,,,1,32,10,4096,0,15977960,14,33.3488,0,16.991,0,0.979916,0,0.727606,0,0,0,0,1.90225,52.6116,3.19417,0,-nan,0,2.46656
Regular,CLazy,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,1,0,,,1,32,10,4096,0,15977960,18,4.11247,0,7.80957,0,0.707972,1.73805,0.367592,7.19783,2.30288,0,0,13.3644,13.0136,9.70709,0,-nan,0,2.14167
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,10,2,0,0,1,0,,,1,32,10,4096,0,15977960,7748947,0,0,11.4643,0,3.19761,513.588,0,0,0,0,0,518.96,12.8661,3.57579,0,-nan,0,3.57579
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,10,2,0,0,1,0,,,1,32,10,4096,0,15977960,3098042,4.0609,0,6.03216,0,230.295,1.39364,0,0,0,0,0,234.373,11.1266,3.71774,0,0.00247065,0,3.71774
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,10,2,0,0,1,0,,,1,32,10,4096,0,15977960,3430397,4.054,8.24746,6.70551,0,243.812,1.9312,1.98442,0,0,0,0,248.639,20.261,4.1504,0,0.00963979,0,2.16597
CLazy,CLazy,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,10,2,0,0,1,0,,,1,32,10,4096,0,15977960,10,33.259,0,17.9775,0,0.981453,0,0.72182,0,0,0,0,1.89062,53.5415,3.21417,0,-nan,0,2.49235
Regular,CLazy,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,10,2,0,0,1,0,,,1,32,10,4096,0,15977960,16,4.04062,0,8.22964,0,0.695595,1.69849,0.363868,7.24164,2.31782,0,0,13.3687,13.3606,9.74718,0,-nan,0,2.14168
Comp,Comp,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,20,2,0,0,1,0,,,1,32,10,4096,0,15977960,7749180,0,0,11.5474,0,3.26111,515.294,0,0,0,0,0,520.885,12.939,3.72084,0,-nan,0,3.72084
Regular,CComp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,20,2,0,0,1,0,,,1,32,10,4096,0,15977960,3098724,3.98074,0,5.75854,0,231.164,1.37814,0,0,0,0,0,235.245,10.7886,3.75211,0,0.00246938,0,3.75211
Regular,CEager,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,20,2,0,0,1,0,,,1,32,10,4096,0,15977960,3430648,4.09304,8.25264,6.67486,0,244.371,1.97057,2.01473,0,0,0,0,249.297,20.2935,4.22868,0,0.00971132,0,2.21395
CLazy,CLazy,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,20,2,0,0,1,0,,,1,32,10,4096,0,15977960,10,33.5877,0,17.9006,0,0.990661,0,0.733399,0,0,0,0,1.91749,53.7843,3.22288,0,-nan,0,2.48948
Regular,CLazy,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,20,2,0,0,1,0,,,1,32,10,4096,0,15977960,16,4.02894,0,8.28551,0,0.663468,1.56674,0.366491,7.19037,2.21052,0,0,13.0293,13.4144,9.68848,0,-nan,0,2.13162
