r_tuples,s_tuples,sum_join_time,sum_index_build_time,label
5000000,5000000,11.6442,0,Grace-HJ
10000000,10000000,24.3995,0,Grace-HJ
20000000,20000000,49.7289,0,Grace-HJ
5000000,5000000,245.538,20.2243,CLazy-INLJ
10000000,10000000,451.996,40.2982,CLazy-INLJ
20000000,20000000,942.07,77.4717,CLazy-INLJ
5000000,5000000,792.246,13.6347,Comp-INLJ
10000000,10000000,1766.85,27.4582,Comp-INLJ
20000000,20000000,3911.36,57.8318,Comp-INLJ
5000000,5000000,132.075,0,P-INLJ
10000000,10000000,700.159,0,P-INLJ
20000000,20000000,1666.88,0,P-INLJ
5000000,5000000,2.03252,61.4947,2CLazy-ISJ
10000000,10000000,4.2521,124.365,2CLazy-ISJ
20000000,20000000,10.3006,292.495,2CLazy-ISJ
5000000,5000000,272.005,48.3867,2Eager-ISJ
10000000,10000000,618.956,96.0685,2Eager-ISJ
20000000,20000000,2469.08,191.748,2Eager-ISJ
