label,join_time,index_build_time,dataset
P-INLJ,37.6824,0.0,User
P-ISJ,26.1998,0.0,User
P-Eager-ISJ,41.5937,113.395,User
P-Lazy-ISJ,42.687,51.5763,User
P-Comp-ISJ,43.7246,49.4759,User
P-CEager-ISJ,3.27011,159.019,User
P-CLazy-ISJ,3.96957,89.4277,User
P-CComp-ISJ,4.09575,88.975,User
P-Grace-HJ,14.0517,0.0,User
P-INLJ,49.9273,0.0,Movie
P-ISJ,27.5159,0.0,Movie
P-Eager-ISJ,40.5937,120.395,Movie
P-Lazy-ISJ,39.687,51.5763,Movie
P-Comp-ISJ,38.7246,49.4759,Movie
P-CEager-ISJ,3.27011,159.019,Movie
P-CLazy-ISJ,3.96957,89.4277,Movie
P-CComp-ISJ,4.09575,88.975,Movie
P-Grace-HJ,14.0517,0.0,Movie
P-INLJ,76.819,0.0,OSM
P-ISJ,37.0756,0.0,OSM
P-Eager-ISJ,69.0374,78.3639,OSM
P-Lazy-ISJ,68.3491,50.4211,OSM
P-Comp-ISJ,64.9704,50.6022,OSM
P-CEager-ISJ,13.2257,112.327,OSM
P-CLazy-ISJ,14.2237,90.6994,OSM
P-CComp-ISJ,10.269,88.2911,OSM
P-Grace-HJ,27.823,0.0,OSM
P-INLJ,76.5533,0.0,Face
P-ISJ,38.135,0.0,Face
P-Eager-ISJ,68.077,80.1241,Face
P-Lazy-ISJ,68.9715,49.7821,Face
P-Comp-ISJ,65.2863,49.5566,Face
P-CEager-ISJ,13.7521,113.161,Face
P-CLazy-ISJ,14.3079,89.6241,Face
P-CComp-ISJ,10.5626,85.3033,Face
P-Grace-HJ,28.4382,0.0,Face
P-INLJ,61.4376,0.0,Unif
P-ISJ,38.4216,0.0,Unif
P-Eager-ISJ,60.2123,55.4922,Unif
P-Lazy-ISJ,59.6013,35.1175,Unif
P-Comp-ISJ,56.8449,36.0604,Unif
P-CEager-ISJ,10.6709,80.6714,Unif
P-CLazy-ISJ,11.0555,69.3805,Unif
